TEAM;NO;NAME;POS;AGE;HEIGHT;WEIGHT;COLLEGE;SALARY
San Antonio Spurs;20;Manu Ginobili;SG;40;6-6;205;;2,500,000
San Antonio Spurs;14;Danny Green;SG;30;6-6;215;North Carolina;10,000,000
San Antonio Spurs;77;Joffrey Lauvergne;C;26;6-11;260;;1,524,305
San Antonio Spurs;2;Kawhi Leonard;SF;26;6-7;230;San Diego State;18,868,626
San Antonio Spurs;8;Patty Mills;PG;29;6-0;185;Saint Mary's;10,714,286
San Antonio Spurs;5;Dejounte Murray;PG;21;6-5;170;Washington;1,312,611
San Antonio Spurs;9;Tony Parker;PG;35;6-2;185;;15,453,126
San Antonio Spurs;3;Brandon Paul;SG;26;6-4;200;Illinois;815,615
San Antonio Spurs;4;Derrick White;PG;23;6-4;190;Colorado;1,404,600
Atlanta Hawks;24;Kent Bazemore;SG;28;6-5;201;Old Dominion;16,910,113
Atlanta Hawks;95;DeAndre' Bembry;SF;23;6-6;210;Saint Joseph's;1,567,200
Atlanta Hawks;34;Tyler Cavanaugh;PF;24;6-9;238;George Washington;679,919
